 date,comment,energy_consumption_rate_per_day,higher_stabilized_range,lower_stabilized_range,max_energy_consumption,min_energy_consumption,not_in_operation_from,not_in_operation_to,number_of_times_the_peaks_crossed_the_lower_thresold_value,number_of_times_the_peaks_crossed_the_upper_thresold_value,start_time,stop_time
11/1/2017,--,441.3,492.56,336,504,315.84,all day running,all day running,0,126,0:00:00,23:55:00
11/2/2017,--,435.4833333,487.08,330.92,498.24,312.96,all day running,all day running,2,84,0:00:00,23:55:00
11/3/2017,--,434.0966667,486.72,327.8,497.28,309.12,all day running,all day running,7,74,0:00:00,23:55:00
11/4/2017,--,143.89,487.872,339.84,490.56,40.32,6:00:00,23:55:00,222,20,0:00:00,5:25:00
11/5/2017,cant be determined,58.93,,,139.2,24.96,0:00:00,23:55:00,288,0,not in operation,not in operation
11/6/2017,--,307.94,451.4666667,283.9466667,494.4,47.04,0:00:00,8:55:00,109,68,9:00:00,23:55:00
11/7/2017,--,444.0666667,489.56,334.68,496.32,307.2,all day running,all day running,4,109,0:00:00,23:55:00
11/8/2017,--,447.5933333,489.96,328,497.28,299.52,all day running,all day running,4,118,0:00:00,23:55:00
11/9/2017,--,423.89,491.0608696,313.293913,495.36,57.6,16:00:00,16:55:00,19,117,0:00:00,23:55:00
11/10/2017,--,445.48,493.1895652,333.3704348,502.08,317.76,all day running,all day running,0,137,0:00:00,23:55:00
11/11/2017,--,441.72,490.3930435,324.7721739,502.08,207.36,20:10:00,21:30:00,18,145,0:00:00,23:55:00
11/12/2017,--,162.42,426.96,249.12,501.12,43.2,6:00:00,23:55:00,222,29,0:00:00,5:30:00
11/13/2017,--,306.0033333,453.76,268.64,508.8,39.36,0:00:00,15:55:00,112,70,8:00:00,23:55:00
11/14/2017,--,440.65,496.72,329.8,504.96,308.16,all day running,all day running,3,121,0:00:00,23:55:00
11/15/2017,--,449.6466667,499.68,338.2,509.76,317.76,all day running,all day running,0,143,0:00:00,23:55:00
11/16/2017,--,442.1366667,496.88,336.96,508.8,312.96,all day running,all day running,1,126,0:00:00,23:55:00
11/17/2017,--,447.0066667,497.32,333.28,510.72,311.04,all day running,all day running,1,128,0:00:00,23:55:00
11/18/2017,--,426.6366667,486.44,328.12,506.88,190.08,all day running,all day running,3,93,0:00:00,23:55:00
11/19/2017,--,154.98,418.92,257.52,495.36,38.4,5:05:00,23:55:00,227,14,0:00:00,4:55:00
11/20/2017,--,323.8133333,475.68,304.48,512.64,46.08,0:00:00,7:35:00,95,92,8:00:00,23:55:00
11/21/2017,--,442.15,495.36,330.3234783,518.4,191.04,all day running,all day running,4,120,0:00:00,23:55:00
11/22/2017,--,452.0566667,501.92,341.28,509.76,304.32,all day running,all day running,1,155,0:00:00,23:55:00
11/23/2017,--,442.8833333,502.72,337.2,514.56,317.76,all day running,all day running,0,137,0:00:00,23:55:00
11/24/2017,--,438.88,501,334.84,514.56,304.32,all day running,all day running,2,123,0:00:00,23:55:00
11/25/2017,--,140.3566667,501.92,304.48,506.88,23.04,6:00:00,23:55:00,219,29,0:00:00,5:40:00
11/26/2017,energy consumpttion is low,53.03333333,210.88,65.28,216.96,21.12,0:00:00,23:55:00,288,0,not in operation,not in operation
11/27/2017,--,324.3233333,480.0564706,316.6870588,504.96,39.36,0:00:00,7:45:00,97,68,8:00:00,23:55:00
11/28/2017,--,439.3366667,488.44,326.76,501.12,300.48,all day running,all day running,6,105,0:00:00,23:55:00
11/29/2017,--,435.05,490.28,329.6,502.08,312.96,all day running,all day running,2,94,0:00:00,23:50:00
11/30/2017,--,442.8459394,495.48,331.24,509.76,308.16,all day running,all day running,2,116,0:00:00,23:50:00
12/1/2017,--,452.9812121,499.9095652,334.4973913,511.68,313.92,all day running,all day running,1,146,0:00:00,23:55:00
12/2/2017,--,446.5960606,495.32,331.52,516.48,250.56,all day running,all day running,4,136,0:05:00,23:55:00
12/3/2017,--,,437.76,251.68,495.36,48,5:25:00,23:45:00,222,15,0:00:00,4:55:00
12/4/2017,--,318.93,472.1066667,300.8533333,509.76,41.28,0:00:00,7:40:00,100,82,8:00:00,23:50:00
12/5/2017,--,453.4466667,502.08,340.7165217,514.56,315.84,all day running,all day running,0,143,0:00:00,23:55:00
12/6/2017,--,438.5866667,499.7008696,341.2173913,512.64,307.2,all day running,all day running,2,132,0:00:00,23:55:00
12/7/2017,--,441.2966667,499.8,334.4,514.56,301.44,all day running,all day running,1,122,0:00:00,23:55:00
12/8/2017,--,446.87,501.6,339.52,512.64,319.68,all day running,all day running,0,138,0:00:00,23:55:00
12/9/2017,--,140.7566667,473.44,302.56,501.12,44.16,5:15:00,23:55:00,225,22,0:00:00,4:55:00
12/10/2017,cant be determined,56.86,,,91.2,31.68,0:00:00,23:55:00,288,0,not in operation,not in operation
12/11/2017,--,289.4966667,443.04,268.92,503.04,46.08,0:00:00,11:40:00,126,43,9:05:00,23:55:00
12/12/2017,--,450.2933333,501.48,336.56,514.56,317.76,all day running,all day running,0,147,0:00:00,23:55:00
12/13/2017,--,447.2633333,497.84,339.64,512.64,316.8,all day running,all day running,0,129,0:00:00,23:55:00
12/14/2017,--,438.01,492.76,331.64,511.68,273.6,all day running,all day running,4,124,0:00:00,23:50:00
12/15/2017,--,442.1566667,499.533913,330.3234783,513.6,295.68,all day running,all day running,3,128,0:00:00,23:55:00
12/16/2017,--,424.4,490,331.64,514.56,279.36,all day running,all day running,1,95,0:00:00,23:55:00
12/17/2017,--,149.7933333,424.32,263.4514286,490.56,48,5:10:00,23:55:00,227,13,0:00:00,4:55:00
12/18/2017,--,326.42,439.296,282.816,513.6,41.28,0:00:00,8:55:00,102,94,9:00:00,23:55:00
12/19/2017,--,455.3266667,504.6678261,339.0052174,517.44,318.72,all day running,all day running,0,149,0:00:00,23:55:00
12/20/2017,--,454.26,509.24,351.56,522.24,333.12,all day running,all day running,0,153,0:00:00,23:55:00
12/21/2017,--,447.4833333,506.84,344.08,521.28,322.56,all day running,all day running,0,137,0:00:00,23:55:00
12/22/2017,--,448.69,508.7165217,341.5513043,520.32,323.52,all day running,all day running,0,143,0:00:00,23:55:00
12/23/2017,--,437.97,498.28,326.76,521.28,233.28,all day running,all day running,6,130,0:00:00,23:55:00
12/24/2017,--,153.95,407.52,248.16,510.72,46.08,5:15:00,23:55:00,225,26,0:00:00,4:55:00
12/25/2017,--,330.1333333,479.5733333,305.92,519.36,33.6,0:00:00,8:50:00,100,95,9:00:00,23:55:00
12/26/2017,--,459.1766667,511.48,348.28,528,325.44,all day running,all day running,0,162,0:00:00,23:55:00
12/27/2017,--,449.5633333,510.8,345,528,324.48,all day running,all day running,0,143,0:00:00,23:55:00
12/28/2017,--,454.83,509.84,340.8,519.36,324.48,all day running,all day running,0,155,0:00:00,23:55:00
12/29/2017,--,447.57,511.4,333.68,528,217.92,all day running,all day running,8,145,0:00:00,23:55:00
12/30/2017,--,440.4733333,505.24,334.4,520.32,189.12,all day running,all day running,6,138,0:00:00,23:55:00
12/31/2017,--,130.8233333,480.48,313.44,506.88,12.48,6:00:00,23:55:00,222,20,0:00:00,5:25:00
1/1/2018,energy consumpttion is low,56.36333333,204.16,59.52,243.84,11.52,0:00:00,23:55:00,288,0,not in operation,not in operation
1/2/2018,--,319.66,462.4673684,297.2968421,515.52,45.12,0:00:00,7:40:00,100,77,8:00:00,23:55:00
1/3/2018,--,393.15,455.952,292.896,520.32,164.16,5:15:00,5:55:00,30,85,0:00:00,23:55:00
1/4/2018,--,429.3133333,509.4,337.36,522.24,270.72,all day running,all day running,3,113,0:00:00,23:55:00
1/5/2018,--,445.34,506.04,333.04,517.44,218.88,all day running,all day running,7,136,0:00:00,23:55:00
1/6/2018,--,440.26,498.72,319.64,517.44,165.12,6:00:00,6:55:00,16,134,0:00:00,23:55:00
1/7/2018,--,446.4233333,502.92,339.12,515.52,318.72,all day running,all day running,0,134,0:00:00,23:55:00
1/8/2018,--,164.4166667,377.64,210.72,507.84,44.16,6:00:00,23:55:00,221,33,0:00:00,5:30:00
1/9/2018,--,327.9466667,481.3333333,310.6133333,519.36,40.32,0:00:00,7:35:00,95,89,8:00:00,23:55:00
1/10/2018,--,445.42,507.52,346,519.36,321.6,all day running,all day running,0,138,0:00:00,23:55:00
1/11/2018,--,410.9733333,502.7895652,316.5495652,521.28,41.28,9:10:00,10:55:00,26,124,0:00:00,23:55:00
1/12/2018,--,400.02,509.8057143,338.7428571,524.16,52.8,9:00:00,11:55:00,37,127,0:00:00,23:55:00
1/13/2018,--,422.9433333,493.96,325.44,520.32,175.68,5:00:00,5:50:00,17,115,0:00:00,23:55:00
1/14/2018,--,455.0766667,507.08,343,514.56,324.48,all day running,all day running,0,154,0:00:00,23:55:00
1/15/2018,--,166.46,421.56,260.16,503.04,54.72,5:20:00,23:55:00,224,28,0:00:00,4:55:00
1/16/2018,--,331.99,465.6,294.72,517.44,40.32,0:00:00,7:35:00,98,110,8:00:00,23:55:00
1/17/2018,--,449.2033333,501.68,331.72,518.4,191.04,all day running,all day running,3,156,0:00:00,23:55:00
1/18/2018,--,445.0033333,504.7095652,325.106087,516.48,0,all day running,all day running,3,139,0:00:00,23:55:00
1/19/2018,--,452.8533333,502.96,332,520.32,192.96,all day running,all day running,8,162,0:00:00,23:55:00
1/20/2018,--,441.02,504.96,338.1704348,517.44,257.28,all day running,all day running,1,139,0:00:00,23:55:00
1/21/2018,--,147.9433333,457.7828571,285.3942857,511.68,33.6,6:00:00,23:55:00,222,23,0:00:00,5:25:00
1/22/2018,cant be determined,62.90333333,,,89.28,31.68,0:00:00,23:55:00,288,0,not in operation,not in operation
1/23/2018,--,337.57,487.7866667,304.6933333,523.2,58.56,0:00:00,7:35:00,99,94,8:00:00,23:55:00
1/24/2018,--,415.2966667,510.1963636,320.3781818,528.96,51.84,9:00:00,10:55:00,32,143,0:00:00,23:55:00
1/25/2018,--,463.5966667,510.52,343.12,524.16,323.52,all day running,all day running,0,170,0:00:00,23:55:00
1/26/2018,--,453.06,508.52,343.52,527.04,322.56,all day running,all day running,0,154,0:00:00,23:55:00
1/27/2018,--,459.21,504.92,342.4,512.64,312,all day running,all day running,1,169,0:00:00,23:45:00
1/28/2018,--,452.1166667,502.4,338,522.24,182.4,all day running,all day running,4,159,0:00:00,23:55:00
1/29/2018,--,166.0833333,445.44,275.3828571,507.84,44.16,6:00:00,23:55:00,220,20,0:00:00,5:35:00
1/30/2018,--,319.14,493.0447059,321.9952941,525.12,43.2,0:00:00,8:55:00,102,83,9:05:00,23:55:00
1/31/2018,--,461.0133333,513.4,346.52,526.08,328.32,all day running,all day running,0,168,0:00:00,23:55:00
2/1/2018,--,463.3033333,513.04,347.28,525.12,321.6,all day running,all day running,0,176,0:00:00,23:55:00
2/2/2018,--,457.5466667,507.64,341.4,523.2,180.48,all day running,all day running,6,168,0:00:00,23:55:00
2/3/2018,--,465.2733333,513.8,347.52,525.12,327.36,all day running,all day running,0,182,0:00:00,23:55:00
2/4/2018,--,161.53,433.56,243.6,519.36,49.92,5:20:00,23:55:00,224,22,0:00:00,4:55:00
2/5/2018,--,317.0433333,474.2933333,299.36,524.16,40.32,0:00:00,8:55:00,106,82,9:15:00,23:55:00
2/6/2018,--,455.32,512.76,344.68,526.08,317.76,all day running,all day running,0,157,0:00:00,23:55:00
2/7/2018,--,430.4866667,499.64,326.44,523.2,192.96,8:20:00,9:55:00,21,129,0:00:00,23:55:00
2/8/2018,--,458.8768,508.48,346.24,523.2,327.36,all day running,all day running,0,102,0:00:00,14:45:00
